Iter 0076220  Loss: 0.007875
Iter 0076240  Loss: 0.007864
Iter 0076260  Loss: 0.008515
Iter 0076280  Loss: 0.008019
Iter 0076300  Loss: 0.007928
Iter 0076320  Loss: 0.007654
Iter 0076340  Loss: 0.008404
Iter 0076360  Loss: 0.007808
Iter 0076380  Loss: 0.007704
Iter 0076400  Loss: 0.007443
Iter 0076420  Loss: 0.008378
Iter 0076440  Loss: 0.008247
Iter 0076460  Loss: 0.007699
Iter 0076480  Loss: 0.007939
Iter 0076500  Loss: 0.008045
Iter 0076520  Loss: 0.008363
Iter 0076540  Loss: 0.008187
Iter 0076560  Loss: 0.008109
Iter 0076580  Loss: 0.008265
Iter 0076600  Loss: 0.007627
Iter 0076620  Loss: 0.008220
Iter 0076640  Loss: 0.008259
Iter 0076660  Loss: 0.008109
Iter 0076680  Loss: 0.007812
Iter 0076700  Loss: 0.008143
Iter 0076720  Loss: 0.008227
Iter 0076740  Loss: 0.007985
Iter 0076760  Loss: 0.008090
Iter 0076780  Loss: 0.007981
Iter 0076800  Loss: 0.008582
Iter 0076820  Loss: 0.007917
Iter 0076840  Loss: 0.008160
Iter 0076860  Loss: 0.008182
Iter 0076880  Loss: 0.008259
Iter 0076900  Loss: 0.007603
Iter 0076920  Loss: 0.007910
Iter 0076940  Loss: 0.007855
Iter 0076960  Loss: 0.008230
Iter 0076980  Loss: 0.007950
Iter 0077000  Loss: 0.007809
Iter 0077020  Loss: 0.007893
Iter 0077040  Loss: 0.007874
Iter 0077060  Loss: 0.007843
Iter 0077080  Loss: 0.007765
Iter 0077100  Loss: 0.008112
Iter 0077120  Loss: 0.007949
Iter 0077140  Loss: 0.007879
Iter 0077160  Loss: 0.007965
Iter 0077180  Loss: 0.008127
Iter 0077200  Loss: 0.008416
Iter 0077220  Loss: 0.008526
Iter 0077240  Loss: 0.009007
Iter 0077260  Loss: 0.008318
Iter 0077280  Loss: 0.009536
Iter 0077300  Loss: 0.008239
Iter 0077320  Loss: 0.007724
Iter 0077340  Loss: 0.008159
Iter 0077360  Loss: 0.008321
Iter 0077380  Loss: 0.008251
Iter 0077400  Loss: 0.007701
Iter 0077420  Loss: 0.008057
Iter 0077440  Loss: 0.007832
Iter 0077460  Loss: 0.008721
Iter 0077480  Loss: 0.008184
Iter 0077500  Loss: 0.007956
Iter 0077520  Loss: 0.007913
Iter 0077540  Loss: 0.007923
Iter 0077560  Loss: 0.007812
Iter 0077580  Loss: 0.007832
Iter 0077600  Loss: 0.007578
Iter 0077620  Loss: 0.007837
Iter 0077640  Loss: 0.007653
Iter 0077660  Loss: 0.008136
Iter 0077680  Loss: 0.007938
Iter 0077700  Loss: 0.007922
Iter 0077720  Loss: 0.007863
Iter 0077740  Loss: 0.008196
Iter 0077760  Loss: 0.007634
Iter 0077780  Loss: 0.008291
Iter 0077800  Loss: 0.008222
Iter 0077820  Loss: 0.008692
Iter 0077840  Loss: 0.007983
Iter 0077860  Loss: 0.008065
Iter 0077880  Loss: 0.007960
Iter 0077900  Loss: 0.008836
Iter 0077920  Loss: 0.007893
Iter 0077940  Loss: 0.009208
Iter 0077960  Loss: 0.008493
Iter 0077980  Loss: 0.007975
Iter 0078000  Loss: 0.008334
Iter 0078020  Loss: 0.008655
Iter 0078040  Loss: 0.007673
Iter 0078060  Loss: 0.008037
Iter 0078080  Loss: 0.007911
Iter 0078100  Loss: 0.007771
Iter 0078120  Loss: 0.007896
Iter 0078140  Loss: 0.007782
Iter 0078160  Loss: 0.007680
Iter 0078180  Loss: 0.007942
Iter 0078200  Loss: 0.007882
Iter 0078220  Loss: 0.007964
Iter 0078240  Loss: 0.007633
Iter 0078260  Loss: 0.007778
Iter 0078280  Loss: 0.007646
Iter 0078300  Loss: 0.007727
Iter 0078320  Loss: 0.008280
Iter 0078340  Loss: 0.008439
Iter 0078360  Loss: 0.008056
Iter 0078380  Loss: 0.008500
Iter 0078400  Loss: 0.007812
Iter 0078420  Loss: 0.008283
Iter 0078440  Loss: 0.007861
Iter 0078460  Loss: 0.007949
Iter 0078480  Loss: 0.008474
Iter 0078500  Loss: 0.007358
Iter 0078520  Loss: 0.007833
Iter 0078540  Loss: 0.007852
Iter 0078560  Loss: 0.008296
Iter 0078580  Loss: 0.007891
Iter 0078600  Loss: 0.008300
Iter 0078620  Loss: 0.008089
Iter 0078640  Loss: 0.007992
Iter 0078660  Loss: 0.008287
Iter 0078680  Loss: 0.007425
Iter 0078700  Loss: 0.007870
Iter 0078720  Loss: 0.007894
Iter 0078740  Loss: 0.007647
Iter 0078760  Loss: 0.007798
Iter 0078780  Loss: 0.007873
Iter 0078800  Loss: 0.007628
Iter 0078820  Loss: 0.008319
Iter 0078840  Loss: 0.007720
Iter 0078860  Loss: 0.007675
Iter 0078880  Loss: 0.008860
Iter 0078900  Loss: 0.008181
Iter 0078920  Loss: 0.008128
Iter 0078940  Loss: 0.007687
Iter 0078960  Loss: 0.007905
Iter 0078980  Loss: 0.008180
Iter 0079000  Loss: 0.007707
Iter 0079020  Loss: 0.007672
Iter 0079040  Loss: 0.007853
Iter 0079060  Loss: 0.007849
Iter 0079080  Loss: 0.008332
Iter 0079100  Loss: 0.008566
Iter 0079120  Loss: 0.007395
Iter 0079140  Loss: 0.008408
Iter 0079160  Loss: 0.008592
Iter 0079180  Loss: 0.007745
Iter 0079200  Loss: 0.008317
Iter 0079220  Loss: 0.007616
Iter 0079240  Loss: 0.007401
Iter 0079260  Loss: 0.008074
Iter 0079280  Loss: 0.008422
Iter 0079300  Loss: 0.008646
Iter 0079320  Loss: 0.008217
Iter 0079340  Loss: 0.008185
